num_medications,total,readmission_rate_pct
1,262,4.2
2,470,8.3
3,900,7.22
4,1417,8.05
5,2017,7.44
6,2699,8.48
7,3484,8.75
8,4353,9.56
9,4913,9.81
10,5346,9.97
11,5795,10.37
12,6004,10.78
13,6086,10.99
14,5707,10.76
15,5792,11.65
16,5430,11.49
17,4919,12.16
18,4523,12.18
19,4078,12.24
20,3691,13.11
21,3230,12.97
22,2868,13.42
23,2426,12.78
24,2109,13.75
25,1888,11.81
26,1608,12.81
27,1432,12.36
28,1233,11.92
29,1000,14.4
30,849,11.66
31,712,13.06
32,623,10.91
33,504,9.92
34,453,14.13
35,388,16.49
36,287,12.54
37,293,15.36
38,228,13.6
39,209,10.53
40,179,13.41
41,146,10.96
42,128,11.72
43,127,13.39
44,100,7.0
45,88,11.36
46,92,15.22
47,74,16.22
48,60,10.0
49,61,11.48
50,55,7.27
52,54,7.41
