age,race,total,readmission_rate_pct
[20-30),Caucasian,975,16.62
[80-90),Hispanic,141,16.31
[70-80),Asian,180,15.0
[30-40),Other,84,13.1
[20-30),AfricanAmerican,540,12.59
[80-90),?,397,12.59
[70-80),Hispanic,386,12.18
[40-50),Hispanic,337,12.17
[80-90),Caucasian,14602,12.11
[40-50),AfricanAmerican,2787,11.95
[70-80),AfricanAmerican,3816,11.9
[70-80),Caucasian,20761,11.83
[30-40),Caucasian,2203,11.67
[80-90),AfricanAmerican,1817,11.67
[30-40),AfricanAmerican,1223,11.61
[90-100),?,69,11.59
[60-70),AfricanAmerican,4232,11.46
[60-70),Hispanic,489,11.45
[90-100),Caucasian,2325,11.31
[60-70),Caucasian,16693,11.17
